============================================================
METHANE SEGMENTATION ZCU104 OPTIMIZED BENCHMARK
============================================================
Batch: 1 ALWAYS
Profile: max-e2e
Dataset images: 342
Runners: 2
Pre workers: 1
Post workers: 1
Slots/runner: 1
Pin: no
DPU subgraphs: 6 | CPU fallback subgraphs: 6
Input  : [1,512,512,4] INT8 fix=5
Output : [1,512,512,1] FLOAT32
[VAL 225/342] ang20191018t172239_r9176_c327_w151_h151 F1=0.6621 IoU=0.4949
[VAL 226/342] ang20191025t184057_r3486_c136_w151_h151 F1=0.2898 IoU=0.1695
[VAL 227/342] ang20191018t183859_r12712_c110_w151_h151 F1=0.5130 IoU=0.3450
[VAL 228/342] ang20191021t184841_r5112_c321_w151_h151 F1=0.6447 IoU=0.4757
[VAL 229/342] ang20191025t182152_r2787_c361_w151_h151 F1=0.4322 IoU=0.2757
[VAL 230/342] ang20191018t174629_r4306_c191_w151_h151 F1=0.0000 IoU=0.0000
[VAL 231/342] ang20191018t141549_r15614_c220_w151_h151 F1=0.6429 IoU=0.4737
[VAL 232/342] ang20191021t171902_r10143_c365_w151_h151 F1=0.7853 IoU=0.6466
[VAL 233/342] ang20191025t173025_r4707_c55_w151_h151 F1=0.0000 IoU=0.0000
[VAL 234/342] ang20191018t153724_r16912_c149_w151_h151 F1=0.3990 IoU=0.2492
[VAL 235/342] ang20191018t174629_r7608_c507_w151_h151 F1=0.6359 IoU=0.4661
[VAL 236/342] ang20191025t205201_r11171_c318_w151_h151 F1=0.3960 IoU=0.2469
[VAL 237/342] ang20191025t193513_r5930_c534_w151_h151 F1=0.5326 IoU=0.3630
[VAL 238/342] ang20191021t184841_r1071_c144_w151_h151 F1=0.7280 IoU=0.5723
[VAL 239/342] ang20191021t154726_r3595_c76_w151_h151 F1=0.5805 IoU=0.4090
[VAL 240/342] ang20191025t203400_r1012_c227_w151_h151 F1=0.0000 IoU=0.0000
[VAL 241/342] ang20191021t184841_r5835_c175_w151_h151 F1=0.7743 IoU=0.6318
[VAL 242/342] ang20191018t144405_r1980_c150_w151_h151 F1=0.1868 IoU=0.1030
[VAL 243/342] ang20191025t182152_r10313_c122_w151_h151 F1=0.4453 IoU=0.2864
[VAL 244/342] ang20191021t163119_r8833_c523_w151_h151 F1=0.8734 IoU=0.7752
[VAL 245/342] ang20191025t191752_r5942_c143_w151_h151 F1=0.0000 IoU=0.0000
[VAL 246/342] ang20191018t183859_r11284_c292_w151_h151 F1=0.5941 IoU=0.4225
[VAL 247/342] ang20191025t193513_r11288_c25_w151_h151 F1=0.0000 IoU=0.0000
[VAL 248/342] ang20191025t195446_r6606_c89_w151_h151 F1=0.0000 IoU=0.0000
[VAL 249/342] ang20191021t184841_r7454_c343_w151_h151 F1=0.5412 IoU=0.3710
[VAL 250/342] ang20191021t184841_r7107_c486_w151_h151 F1=0.8291 IoU=0.7082
[VAL 251/342] ang20191018t153724_r7632_c466_w151_h151 F1=0.6016 IoU=0.4302
[VAL 252/342] ang20191021t163119_r10989_c389_w151_h151 F1=0.8513 IoU=0.7411
[VAL 253/342] ang20191018t165503_r11460_c337_w151_h151 F1=0.0000 IoU=0.0000
[VAL 254/342] ang20191018t165503_r1966_c129_w151_h151 F1=0.6975 IoU=0.5356
[VAL 255/342] ang20191021t161810_r3990_c214_w151_h151 F1=0.5695 IoU=0.3981
[VAL 256/342] ang20191018t183859_r7764_c98_w151_h151 F1=0.0000 IoU=0.0000
[VAL 257/342] ang20191025t174619_r5000_c216_w151_h151 F1=0.0000 IoU=0.0000
[VAL 258/342] ang20191021t183204_r8292_c93_w151_h151 F1=0.5892 IoU=0.4176
[VAL 259/342] ang20191021t183204_r7070_c151_w151_h151 F1=0.6829 IoU=0.5185
[VAL 260/342] ang20191021t173221_r8677_c419_w151_h151 F1=0.7920 IoU=0.6556
[VAL 261/342] ang20191025t171141_r8873_c372_w151_h151 F1=0.0000 IoU=0.0000
[VAL 262/342] ang20191021t154726_r9012_c276_w151_h151 F1=0.6722 IoU=0.5063
[VAL 263/342] ang20191018t183859_r15671_c209_w151_h151 F1=0.7344 IoU=0.5803
[VAL 264/342] ang20191025t191752_r9839_c105_w151_h151 F1=0.0000 IoU=0.0000
[VAL 265/342] ang20191021t183204_r7413_c7_w151_h151 F1=0.8511 IoU=0.7407
[VAL 266/342] ang20191021t194835_r9149_c236_w151_h151 F1=0.8110 IoU=0.6821
[VAL 267/342] ang20191021t174954_r6623_c170_w151_h151 F1=0.0000 IoU=0.0000
[VAL 268/342] ang20191025t185816_r9590_c99_w151_h151 F1=0.0000 IoU=0.0000
